"country","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","BBIBP-CorV","Oxford/AstraZeneca","Pfizer/BioNTech","Sinovac","Sputnik V","Sinopharm/Beijing","Johnson&Johnson","Moderna","Covaxin","CanSino","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","EpiVacCorona","RBD-Dimer","Region","Surface area (km2)","Population in thousands (2017)","Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP: Gross domestic product (million current US$)","GDP growth rate (annual %, const. 2005 prices)","GDP per capita (current US$)","Economy: Agriculture (% of GVA)","Economy: Industry (% of GVA)","Economy: Services and other activity (% of GVA)","Employment: Agriculture (% of employed)","Employment: Industry (% of employed)","Employment: Services (% of employed)","Unemployment (% of labour force)","Agricultural production index (2004-2006=100)","Food production index (2004-2006=100)","International trade: Exports (million US$)","International trade: Imports (million US$)","International trade: Balance (million US$)","Balance of payments, current account (million US$)","Population growth rate (average annual %)","Urban population (% of total population)","Urban population growth rate (average annual %)","Fertility rate, total (live births per woman)","Refugees and others of concern to UNHCR (in thousands)","Infant mortality rate (per 1000 live births","Health: Total expenditure (% of GDP)","Education: Government expenditure (% of GDP)","Seats held by women in national parliaments %","Mobile-cellular subscriptions (per 100 inhabitants)","Individuals using the Internet (per 100 inhabitants)","Threatened species (number)","CO2 emission estimates (million tons/tons per capita)","Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
"New Caledonia",104683,56691,47992,552,36.67,19.86,16.81,1934,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Melanesia",18575,276,15.1,101.5,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,15.1,102,103,1344,2422,-1079,-1469,1.4,70.2,2.2,2.2,-99,13,-99,-99,-99,74,526,45.9,1,215,-99
"New Zealand",1019364,637847,381517,18097,21.14,13.23,7.91,3753,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Oceania",268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,-2589,-5501,1.1,86.3,1,2,1.7,4.4,11,6.4,34.2,88.2,199,38.6,783,207,-99
"Nicaragua",167500,167500,,82,2.53,2.53,,12,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"CentralAmerica",130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,-3701,-1045,1.2,58.8,2,2.3,0.6,20,9,"...",45.7,19.7,144,25.9,91,26,3.68
"Niger",186207,172812,13395,982,0.77,0.71,0.06,41,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",1267000,21477,17,100.6,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148,148,927,1861,-933,-1150,3.8,18.7,5.1,7.4,312.5,65.8,6,6.7,17,2.2,34,0.9,101,5,12.26
"Nigeria",2659153,1978808,680345,39399,1.29,0.96,0.33,191,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAfrica",923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,2437.5,76.3,3.7,-99,5.6,47.4,361,8.1,10851,32,0.52
"Norway",3706706,2233536,1473170,45316,68.37,41.2,27.17,8359,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,"NorthernEurope",386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,73.2,2.4,9.7,7.4,39.6,96.8,64,33.2,8204,233,-99
"Oman",859000,666000,193000,36165,16.82,13.04,3.78,7082,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",309500,4636,15,192.8,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,17.8,134,134,24455,23260,1195,-10807,6.5,77.6,8.5,2.9,0.6,9.6,3.6,5,1.2,74.2,99,"~0.0",3101,239,"..."
"Pakistan",13484364,10833547,3566547,248354,6.1,4.9,1.61,1124,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,"SouthernAsia",796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,2739.4,69.8,2.6,2.6,20.6,18,140,2,2202,17,1.32
"Panama",1444047,,499244,14323,33.47,,11.57,3320,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"CentralAmerica",75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,21.5,15.2,8,3.2,18.3,51.2,383,62.3,31,35,0.02
"Papua New Guinea",38176,38176,,987,0.43,0.43,,110,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"Melanesia",462840,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,84,83,8760,8874,-114,5326,2.2,13,2.1,3.8,9.7,49,4.3,-99,2.7,7.9,493,74.1,114,22,3.51
"Paraguay",662804,422474,240330,17893,9.29,5.92,3.37,2509,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,"SouthAmerica",406752,6811,17.1,102.9,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,2.6,0.2,28.8,9.8,5,13.8,44.4,59,39.4,325,38,0.22
"Peru",6606935,3937353,2669582,99085,20.04,11.94,8.1,3005,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,2.5,18.6,5.5,4,27.7,40.9,685,57.9,1020,30,0.18
